,Humidity9am,Temp9am,RainToday,RainTomorrow
825,68.0,15.0,0,0
826,73.0,16.2,0,0
827,71.0,16.8,0,0
828,61.0,22.3,0,1
829,92.0,19.8,1,1
830,90.0,19.0,1,0
831,88.0,19.8,0,0
832,87.0,21.8,0,1
833,96.0,19.6,1,0
834,81.0,19.4,0,0
835,87.0,19.8,0,0
836,84.0,15.4,0,0
837,77.0,16.2,0,0
838,74.0,17.4,0,0
839,71.0,19.4,0,0
840,75.0,19.3,0,0
841,82.0,20.1,0,0
842,76.0,16.4,0,1
843,90.0,15.7,1,0
844,77.0,14.9,0,0
845,67.0,15.1,0,0
846,69.0,13.9,0,0
847,81.0,14.2,0,0
848,86.0,14.8,0,0
849,87.0,15.6,0,0
850,83.0,11.6,0,0
851,81.0,12.8,0,0
852,90.0,13.9,0,0
853,74.0,14.6,0,0
854,85.0,10.7,0,0
855,70.0,10.8,0,0
856,76.0,8.1,0,0
857,96.0,6.2,0,0
858,94.0,7.4,0,0
859,60.0,11.4,0,0
860,69.0,7.4,0,1
861,83.0,8.0,1,0
862,94.0,4.1,0,1
863,98.0,9.0,1,1
864,82.0,6.8,1,0
865,95.0,3.3,0,0
866,99.0,4.2,0,0
867,85.0,5.4,0,0
868,99.0,7.1,0,0
869,91.0,6.6,0,0
870,93.0,7.7,0,0
871,85.0,8.0,0,0
872,94.0,10.2,0,1
873,88.0,13.2,1,1
874,85.0,10.0,1,0
875,74.0,7.3,0,0
876,75.0,6.6,0,0
877,99.0,6.1,0,0
878,99.0,6.1,0,0
879,99.0,4.7,0,0
880,76.0,8.7,0,0
881,73.0,8.0,0,0
882,86.0,8.8,0,0
883,99.0,7.7,0,0
884,97.0,8.5,0,1
885,95.0,10.9,1,0
886,98.0,6.7,0,1
887,77.0,6.8,1,0
888,97.0,3.1,0,1
889,89.0,3.0,1,0
890,89.0,7.2,0,0
891,85.0,4.3,0,0
892,82.0,3.5,0,0
893,76.0,7.6,0,0
894,91.0,4.3,0,0
895,78.0,8.2,0,0
896,82.0,5.8,0,0
897,89.0,4.8,0,0
898,92.0,7.5,0,0
899,91.0,7.9,0,0
900,99.0,7.6,0,1
901,86.0,10.4,1,1
902,93.0,6.8,1,0
903,93.0,6.3,0,1
904,85.0,11.0,1,0
905,99.0,6.4,0,0
906,99.0,8.0,0,0
907,99.0,5.7,0,0
908,99.0,4.3,0,0
909,98.0,3.6,0,0
910,81.0,5.6,0,0
911,92.0,5.4,0,0
912,99.0,3.9,0,0
913,99.0,3.7,0,0
914,98.0,6.3,0,1
915,85.0,10.7,1,1
916,84.0,7.8,1,1
917,94.0,7.9,1,1
918,85.0,7.5,1,0
919,93.0,4.3,0,1
920,94.0,7.4,1,0
921,78.0,7.0,0,1
922,85.0,5.7,1,0
923,83.0,7.7,0,0
924,91.0,7.2,0,1
925,99.0,4.0,1,0
926,95.0,2.6,0,0
927,78.0,5.3,0,0
928,86.0,8.4,0,1
929,92.0,8.6,1,1
930,99.0,3.4,1,0
931,99.0,3.6,0,0
932,75.0,8.8,0,0
933,56.0,12.5,0,0
934,72.0,5.8,0,0
935,93.0,5.5,0,1
936,99.0,8.0,1,1
937,99.0,7.0,1,0
938,99.0,4.3,0,0
939,99.0,2.9,0,0
940,92.0,3.6,0,0
941,89.0,4.9,0,0
942,96.0,8.8,0,0
943,92.0,8.7,0,0
944,90.0,10.7,0,0
945,92.0,9.0,0,0
946,64.0,14.7,0,0
947,65.0,13.9,0,1
948,99.0,10.3,1,1
949,96.0,7.6,1,1
950,95.0,7.6,1,1
951,89.0,6.3,1,1
952,89.0,8.9,1,1
953,84.0,7.4,1,0
954,74.0,6.9,0,0
955,91.0,5.8,0,0
956,88.0,8.2,0,1
957,86.0,9.3,1,0
958,80.0,11.8,0,1
959,95.0,10.4,1,1
960,90.0,7.5,1,0
961,88.0,8.2,0,0
962,62.0,11.2,0,0
963,79.0,8.9,0,0
964,79.0,8.8,0,0
965,99.0,6.4,0,0
966,99.0,6.6,0,0
967,99.0,7.2,0,0
968,99.0,6.5,0,0
969,71.0,8.2,0,0
970,72.0,7.3,0,0
971,80.0,8.2,0,0
972,99.0,5.4,0,0
973,87.0,6.5,0,0
974,82.0,9.3,0,0
975,65.0,10.4,0,0
976,71.0,10.2,0,0
977,65.0,14.5,0,1
978,86.0,10.8,1,1
979,55.0,16.7,1,0
980,78.0,7.3,0,0
981,74.0,7.8,0,0
982,70.0,8.4,0,0
988,72.0,9.7,0,0
989,78.0,9.8,0,0
990,78.0,12.0,0,0
991,52.0,14.7,0,0
992,70.0,14.8,0,0
993,73.0,12.2,0,1
994,99.0,7.8,1,0
995,81.0,12.6,0,0
996,65.0,14.5,0,0
997,69.0,11.8,0,0
998,53.0,13.7,0,0
999,65.0,11.7,0,0
1000,72.0,13.3,0,0
1001,69.0,16.9,0,1
1002,84.0,11.2,1,1
1003,84.0,10.1,1,1
1004,85.0,10.5,1,1
1005,69.0,11.3,1,0
1006,67.0,9.4,0,0
1007,74.0,10.5,0,0
1008,89.0,10.2,0,0
1009,87.0,13.0,0,1
1010,88.0,13.3,1,0
1011,79.0,13.5,0,0
1012,89.0,12.6,0,1
1015,81.0,8.9,0,0
1016,73.0,12.4,0,0
1017,74.0,15.8,0,0
1018,77.0,17.1,0,0
